number,value,datetime_start,datetime_complete,duration,params_lags,state
48,0.11668086467445528,2025-07-26 01:59:48.038495,2025-07-26 02:35:47.846217,0 days 00:35:59.807722,149,COMPLETE
49,0.11300997633358112,2025-07-26 02:35:47.847392,2025-07-26 03:08:55.809296,0 days 00:33:07.961904,164,COMPLETE
50,0.11302115896945715,2025-07-26 03:08:55.809797,2025-07-26 03:40:55.960861,0 days 00:32:00.151064,179,COMPLETE
51,0.11234606872497277,2025-07-26 03:40:55.961925,2025-07-26 04:12:09.995371,0 days 00:31:14.033446,189,COMPLETE
52,0.11251264380459407,2025-07-26 04:12:09.996369,2025-07-26 04:40:42.199358,0 days 00:28:32.202989,208,COMPLETE
53,0.1122453246689357,2025-07-26 04:40:42.200359,2025-07-26 05:09:49.293515,0 days 00:29:07.093156,200,COMPLETE
54,0.11117214070573293,2025-07-26 05:09:49.294516,2025-07-26 05:39:52.856019,0 days 00:30:03.561503,191,COMPLETE
55,0.11329221387387205,2025-07-26 05:39:52.857018,2025-07-26 06:11:32.844727,0 days 00:31:39.987709,167,COMPLETE
56,0.11164140553191286,2025-07-26 06:11:32.845743,2025-07-26 06:42:03.871284,0 days 00:30:31.025541,187,COMPLETE
57,0.11117214070573293,2025-07-26 06:42:03.872293,2025-07-26 07:12:19.346959,0 days 00:30:15.474666,191,COMPLETE
58,0.11660293850503023,2025-07-26 07:12:19.347961,2025-07-26 07:34:02.542683,0 days 00:21:43.194722,62,COMPLETE
59,0.11354299984940582,2025-07-26 07:34:02.543683,2025-07-26 08:06:48.422081,0 days 00:32:45.878398,158,COMPLETE
60,0.11660635228111672,2025-07-26 08:06:48.431316,2025-07-26 08:36:33.954788,0 days 00:29:45.523472,101,COMPLETE
61,0.11234606872497277,2025-07-26 08:36:33.955846,2025-07-26 09:07:11.048574,0 days 00:30:37.092728,189,COMPLETE
62,0.11302115896945715,2025-07-26 09:07:11.049574,2025-07-26 09:38:39.066803,0 days 00:31:28.017229,179,COMPLETE
63,0.11213827603738231,2025-07-26 09:38:39.067804,2025-07-26 10:08:59.009555,0 days 00:30:19.941751,194,COMPLETE
