number,value,datetime_start,datetime_complete,duration,params_lags,state
48,0.1419953323659564,2025-07-24 22:54:51.316644,2025-07-24 22:54:52.943276,0 days 00:00:01.626632,15,COMPLETE
49,0.12925995586555056,2025-07-24 22:54:52.944279,2025-07-24 22:54:55.113275,0 days 00:00:02.168996,32,COMPLETE
50,0.13996498966798596,2025-07-24 22:54:55.114278,2025-07-24 22:54:58.562494,0 days 00:00:03.448216,65,COMPLETE
51,0.12259371928413425,2025-07-24 22:54:58.563501,2025-07-24 22:55:00.922597,0 days 00:00:02.359096,42,COMPLETE
52,0.12460431299194914,2025-07-24 22:55:00.923100,2025-07-24 22:55:03.686085,0 days 00:00:02.762985,48,COMPLETE
53,0.1321547230933889,2025-07-24 22:55:03.687103,2025-07-24 22:55:05.666118,0 days 00:00:01.979015,26,COMPLETE
54,0.12546810374895553,2025-07-24 22:55:05.667124,2025-07-24 22:55:08.021558,0 days 00:00:02.354434,38,COMPLETE
55,0.12777220630870206,2025-07-24 22:55:08.024061,2025-07-24 22:55:10.975511,0 days 00:00:02.951450,54,COMPLETE
56,0.12129538393256689,2025-07-24 22:55:10.976517,2025-07-24 22:55:13.770699,0 days 00:00:02.794182,44,COMPLETE
57,0.15104167456017617,2025-07-24 22:55:13.771707,2025-07-24 22:55:17.648824,0 days 00:00:03.877117,72,COMPLETE
58,2083749626401.0225,2025-07-24 22:55:17.649817,2025-07-24 22:55:22.587294,0 days 00:00:04.937477,89,COMPLETE
59,0.12925995586555056,2025-07-24 22:55:22.588295,2025-07-24 22:55:24.753458,0 days 00:00:02.165163,32,COMPLETE
60,0.12129538393256689,2025-07-24 22:55:24.754455,2025-07-24 22:55:27.420893,0 days 00:00:02.666438,44,COMPLETE
61,0.12265606821145159,2025-07-24 22:55:27.422470,2025-07-24 22:55:30.094070,0 days 00:00:02.671600,45,COMPLETE
62,0.12777220630870206,2025-07-24 22:55:30.096114,2025-07-24 22:55:33.384648,0 days 00:00:03.288534,54,COMPLETE
63,0.13405620443958524,2025-07-24 22:55:33.385147,2025-07-24 22:55:35.243854,0 days 00:00:01.858707,21,COMPLETE
